# x_m,y_m,w_tr_right_m,w_tr_left_m
400.52,171.47,4.5762,3.9261
401.38,171.96,4.5809,3.922
402.25,172.46,4.5874,3.9194
403.12,172.95,4.5952,3.9137
403.99,173.44,4.604,3.9052
404.86,173.93,4.614,3.8965
405.73,174.42,4.6252,3.8896
406.61,174.91,4.6374,3.8846
407.48,175.4,4.6485,3.8816
408.35,175.89,4.6588,3.8775
409.22,176.37,4.6682,3.8746
410.09,176.86,4.6762,3.8734
410.97,177.35,4.6829,3.8725
411.84,177.84,4.6885,3.8724
412.72,178.32,4.6934,3.8705
413.59,178.81,4.699,3.8694
414.46,179.3,4.7048,3.8708
415.34,179.78,4.7111,3.871
416.21,180.27,4.7172,3.8681
417.09,180.76,4.7225,3.8657
417.96,181.24,4.7259,3.8674
418.84,181.73,4.7275,3.867
419.71,182.21,4.7274,3.8643
420.59,182.7,4.7265,3.8625
421.46,183.19,4.725,3.8591
422.34,183.67,4.7242,3.8556
423.22,184.16,4.7241,3.8522
424.09,184.64,4.7245,3.8467
424.97,185.13,4.7227,3.8436
425.84,185.61,4.7198,3.844
426.72,186.1,4.7166,3.848
427.59,186.58,4.7134,3.8562
428.47,187.07,4.711,3.8661
429.34,187.55,4.7089,3.8749
430.22,188.04,4.7082,3.8843
431.09,188.53,4.7091,3.8962
431.97,189.01,4.7102,3.9046
432.84,189.49,4.7118,3.9116
433.72,189.98,4.7132,3.9189
434.6,190.46,4.7146,3.9242
435.47,190.95,4.717,3.9284
436.35,191.43,4.7205,3.9339
437.22,191.92,4.7244,3.9364
438.1,192.4,4.7284,3.9347
438.97,192.89,4.7321,3.9352
439.84,193.37,4.7367,3.9354
440.72,193.85,4.7426,3.9357
441.59,194.34,4.7488,3.9371
442.47,194.82,4.7569,3.9393
443.34,195.3,4.7668,3.9412
444.22,195.79,4.7774,3.9423
445.09,196.27,4.6441,4.0805
445.68,196.59,4.6512,4.0813
446.26,196.92,4.6577,4.0828
446.84,197.24,4.8083,3.9486
447.72,197.72,4.8196,3.9518
448.59,198.21,4.8309,3.9557
449.47,198.69,4.8426,3.9608
450.34,199.17,4.8542,3.966
451.21,199.66,4.8654,3.9719
452.09,200.14,4.8779,3.9785
452.96,200.62,4.8909,3.9846
453.83,201.11,4.9047,3.9894
454.7,201.59,4.9186,3.9939
455.57,202.08,4.9329,4.0009
456.44,202.57,4.9472,4.0078
457.31,203.05,4.9615,4.0148
458.19,203.54,4.9763,4.0212
459.05,204.03,4.9903,4.0252
459.92,204.52,5.0045,4.029
460.79,205.01,5.0189,4.0303
461.66,205.5,5.0336,4.029
462.53,205.99,5.049,4.0284
463.4,206.48,5.0652,4.0263
464.26,206.97,5.0839,4.0248
465.13,207.47,5.1042,4.0245
465.99,207.96,5.1263,4.022
466.86,208.46,5.1497,4.0163
467.72,208.96,5.1746,4.0126
468.59,209.46,5.2001,4.0117
469.45,209.96,5.2244,4.0063
470.31,210.47,5.2495,4.0021
471.17,210.97,5.2756,4.0009
472.03,211.48,5.3034,4.0074
472.89,211.99,5.3337,4.0211
473.75,212.5,5.3655,4.0424
474.6,213.01,5.3984,4.0707
475.46,213.53,5.4324,4.1045
476.32,214.04,5.4719,4.1424
477.17,214.56,5.5131,4.182
478.02,215.08,5.5539,4.2229
478.88,215.6,5.5977,4.2659
479.73,216.13,5.642,4.313
480.58,216.66,5.6904,4.3656
481.43,217.18,5.74,4.4249
482.27,217.71,5.7934,4.488
483.12,218.25,5.8444,4.5485
483.97,218.78,5.8978,4.6097
484.81,219.32,5.9531,4.6778
485.65,219.85,6.0125,4.7457
486.5,220.39,6.0734,4.8154
487.34,220.93,6.1339,4.8924
488.18,221.48,6.1985,4.9765
489.02,222.02,6.2643,5.0656
489.86,222.57,6.3312,5.1536
490.7,223.11,6.3984,5.2417
491.53,223.66,6.4702,5.3324
492.37,224.21,6.545,5.4244
493.2,224.76,6.6209,5.513
494.04,225.31,6.6991,5.6016
494.87,225.86,6.7785,5.6893
495.71,226.42,6.8569,5.7777
496.54,226.97,6.9336,5.8667
497.37,227.53,7.0107,5.9531
498.2,228.09,7.0907,6.039
499.03,228.64,7.1725,6.1263
499.86,229.2,7.2584,6.213
500.69,229.76,7.35,6.3014
501.52,230.32,7.4438,6.391
502.34,230.88,7.5387,6.4827
503.17,231.44,7.633,6.572
504,232.01,7.7272,6.663
504.82,232.57,7.8209,6.7576
505.64,233.14,7.9151,6.8445
506.47,233.7,8.0126,6.9306
507.29,234.27,8.1134,7.0166
508.11,234.84,8.2172,7.1039
508.93,235.41,8.3214,7.1917
509.74,235.98,8.4287,7.2804
510.56,236.55,8.5384,7.3687
511.37,237.12,8.6507,7.4552
512.18,237.7,8.7659,7.54
512.99,238.28,8.8851,7.6209
513.79,238.86,9.0086,7.6983
514.59,239.45,9.1383,7.7704
515.39,240.04,9.273,7.8359
516.18,240.63,9.4129,7.8957
516.97,241.22,9.5592,7.9456
517.75,241.83,9.7169,7.9868
518.52,242.43,9.8829,8.0216
519.29,243.04,10.059,8.0404
520.04,243.66,10.247,8.0454
520.79,244.28,10.444,8.0391
521.53,244.91,10.649,8.0175
522.25,245.55,10.867,7.9836
522.96,246.19,11.099,7.9355
523.66,246.85,11.344,7.8731
524.34,247.51,11.599,7.7989
525.01,248.18,11.856,7.7107
525.65,248.86,12.111,7.6082
526.28,249.54,12.355,7.4963
526.88,250.24,12.585,7.3738
527.46,250.95,12.802,7.2452
528.02,251.66,13.007,7.1233
528.55,252.39,13.201,7.011
529.05,253.12,13.387,6.9054
529.52,253.86,13.572,6.8086
529.96,254.61,13.755,6.7232
530.37,255.37,13.931,6.6549
530.74,256.13,14.102,6.5988
531.08,256.9,14.267,6.5549
531.38,257.68,14.426,6.5307
531.65,258.46,14.584,6.5291
531.87,259.24,14.745,6.5271
532.05,260.03,14.92,6.5413
532.19,260.81,15.113,6.5736
532.29,261.6,15.318,6.6237
532.35,262.38,15.531,6.6841
532.36,263.16,15.74,6.7449
532.33,263.94,15.917,6.8083
532.26,264.71,16.065,6.8719
532.14,265.48,16.168,6.9317
531.98,266.23,16.227,6.988
531.77,266.98,16.237,7.0466
531.52,267.72,16.195,7.1054
531.23,268.45,16.105,7.1654
530.9,269.16,15.959,7.2242
530.52,269.86,15.76,7.2818
530.11,270.54,15.507,7.3471
529.66,271.22,15.211,7.4081
529.17,271.87,14.873,7.4753
528.64,272.51,14.506,7.5377
528.08,273.14,14.119,7.6142
527.49,273.74,13.72,7.7018
526.87,274.34,13.319,7.7993
526.22,274.91,12.914,7.9039
525.54,275.47,12.506,8.0055
524.84,276.01,12.096,8.1018
524.11,276.54,11.691,8.1834
523.36,277.05,11.298,8.2462
522.59,277.55,10.925,8.2939
521.79,278.03,10.578,8.3279
520.99,278.5,10.26,8.3459
520.16,278.96,9.9679,8.3472
519.32,279.4,9.701,8.3357
518.47,279.83,9.4548,8.3086
517.6,280.24,9.2279,8.2642
516.73,280.65,9.0162,8.2025
515.84,281.05,8.8174,8.1256
514.95,281.43,8.6326,8.028
514.04,281.8,8.4639,7.9128
513.13,282.17,8.3052,7.788
512.22,282.52,8.1553,7.6558
511.3,282.87,8.0149,7.511
510.37,283.21,7.8798,7.3543
509.44,283.54,7.7501,7.1941
508.5,283.86,7.6259,7.031
507.56,284.17,7.5055,6.8642
506.62,284.48,7.388,6.6984
505.67,284.78,7.2713,6.5405
504.73,285.07,7.1558,6.3929
503.78,285.36,7.0411,6.2574
502.82,285.64,6.9273,6.1348
501.87,285.91,6.8158,6.0216
500.91,286.17,6.7065,5.9154
499.95,286.43,6.6,5.8173
498.99,286.68,6.4964,5.731
498.02,286.93,6.3963,5.6608
497.06,287.17,6.3008,5.6047
496.09,287.4,6.2095,5.556
495.12,287.63,6.1234,5.5098
494.15,287.85,6.0407,5.4656
493.17,288.07,5.96,5.4255
492.2,288.28,5.8824,5.3894
491.22,288.49,5.8067,5.3535
490.25,288.69,5.7341,5.3193
489.27,288.89,5.666,5.2872
488.29,289.08,5.6026,5.2579
487.31,289.27,5.5451,5.2309
486.32,289.45,5.4941,5.2031
485.34,289.63,5.4509,5.1774
484.36,289.81,5.4144,5.1517
483.37,289.98,5.3838,5.126
482.38,290.14,5.3588,5.1026
481.4,290.3,5.3395,5.0828
480.41,290.46,5.324,5.0657
479.42,290.62,5.3132,5.0523
478.43,290.77,5.3061,5.0433
477.44,290.92,5.3004,5.0368
476.45,291.06,5.297,5.0332
475.46,291.2,5.2948,5.0314
474.47,291.34,5.2948,5.0309
473.48,291.47,5.2975,5.0326
472.49,291.6,5.3021,5.033
471.5,291.73,5.3078,5.0322
470.51,291.85,5.3136,5.0323
469.51,291.97,5.3185,5.0293
468.52,292.09,5.3219,5.0232
467.53,292.2,5.3243,5.014
466.54,292.31,5.3267,5.0038
465.55,292.41,5.3293,4.9922
464.55,292.52,5.333,4.9778
463.56,292.62,5.3378,4.9605
462.57,292.71,5.3435,4.9409
461.57,292.8,5.3502,4.9195
460.58,292.89,5.3558,4.8996
459.59,292.97,5.3601,4.8807
458.59,293.06,5.362,4.8593
457.6,293.13,5.3617,4.8344
456.6,293.21,5.361,4.8088
455.61,293.27,5.3595,4.7838
454.61,293.34,5.3578,4.7614
453.62,293.4,5.3558,4.7445
452.62,293.46,5.3529,4.7319
451.63,293.51,5.3501,4.7251
450.63,293.56,5.3454,4.7235
449.64,293.61,5.3397,4.7241
448.64,293.65,5.3336,4.7256
447.64,293.69,5.3279,4.7258
446.65,293.73,5.323,4.7267
445.65,293.76,5.3181,4.7297
444.65,293.79,5.3139,4.7318
443.65,293.81,5.3102,4.7339
442.66,293.83,5.3063,4.734
441.66,293.85,5.3025,4.7346
440.66,293.86,5.2979,4.7392
439.66,293.87,5.2942,4.7452
438.66,293.88,5.2925,4.7515
437.66,293.88,5.2938,4.756
436.67,293.88,5.298,4.7604
435.67,293.88,5.304,4.7664
434.67,293.87,5.3114,4.7729
433.67,293.86,5.3205,4.7783
432.67,293.84,5.3303,4.7821
431.67,293.83,5.3399,4.7827
430.67,293.81,5.3491,4.7813
429.68,293.78,5.3573,4.7791
428.68,293.75,5.365,4.7757
427.68,293.72,5.3722,4.7719
426.68,293.69,5.3785,4.7679
425.68,293.65,5.3846,4.7619
424.69,293.61,5.3897,4.7539
423.69,293.56,5.3946,4.7434
422.69,293.52,5.3998,4.73
421.69,293.46,5.4044,4.7156
420.7,293.41,5.4079,4.7013
419.7,293.35,5.4115,4.6877
418.71,293.29,5.4133,4.6726
417.71,293.22,5.4148,4.6563
416.71,293.15,5.4175,4.6385
415.72,293.08,5.422,4.6206
414.72,293,5.428,4.6023
413.73,292.92,5.4329,4.5847
412.73,292.83,5.4373,4.568
411.74,292.74,5.4415,4.5555
410.75,292.65,5.4466,4.5481
409.75,292.56,5.4524,4.5425
408.76,292.46,5.4583,4.5396
407.77,292.35,5.461,4.5394
406.77,292.24,5.4628,4.5402
405.78,292.13,5.4636,4.5389
404.79,292.02,5.4649,4.5357
